,episode length,episode score,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6
151,1427,672.0,1,4,100,232,1,1
152,1690,672.0,0,0,122,286,2,1
153,1283,546.0,0,0,93,215,1,1
154,1772,672.0,0,0,133,291,0,0
155,1900,714.0,1,2,141,316,1,0
156,1608,672.0,1,0,114,269,1,0
157,1028,525.0,0,0,77,165,0,0
158,1261,630.0,1,0,87,207,0,1
159,1592,693.0,0,0,134,251,1,0
160,1655,693.0,0,1,118,275,2,1
161,1764,651.0,0,0,129,295,2,2
162,1826,714.0,0,1,140,302,0,0
163,1667,525.0,0,1,123,276,1,0
164,1741,672.0,0,0,123,297,1,1
165,1847,672.0,3,0,132,308,0,0
166,1156,525.0,1,1,86,183,0,0
167,1825,672.0,0,0,124,316,1,0
168,1870,672.0,0,0,138,314,0,1
169,1124,630.0,0,1,96,171,0,0
170,1519,630.0,1,1,109,251,0,0
171,1348,609.0,0,1,106,217,0,0
172,1719,672.0,1,0,142,270,1,0
173,1170,651.0,1,1,83,191,0,0
174,1553,693.0,1,0,110,261,0,0
175,1264,672.0,2,0,95,200,1,0
176,1612,651.0,0,2,115,269,1,0
177,1460,651.0,0,1,108,243,0,0
178,1940,672.0,0,1,133,334,0,0
179,1478,777.0,0,1,115,241,0,0
180,1530,651.0,2,2,108,255,1,0
181,1284,567.0,1,1,98,205,0,1
182,1580,630.0,1,0,120,261,1,1
183,1715,672.0,1,0,131,279,0,1
184,1573,798.0,1,2,111,263,0,2
185,1316,462.0,1,3,99,211,0,0
186,1935,714.0,0,0,145,321,0,1
187,1580,714.0,1,1,119,258,0,0
188,1459,714.0,2,0,101,244,1,0
189,1579,693.0,0,0,107,275,0,0
190,1520,651.0,0,1,115,250,0,0
191,1403,651.0,0,0,103,231,0,1
192,1476,651.0,1,0,112,242,1,0
193,1379,546.0,1,0,96,231,0,1
194,1554,693.0,0,0,114,262,0,0
195,1251,609.0,0,1,105,189,2,0
196,1291,630.0,0,1,100,207,1,0
197,1589,693.0,0,0,136,246,0,0
198,1902,756.0,0,0,144,320,0,0
199,1406,693.0,0,0,103,233,0,1
200,1398,672.0,0,0,117,219,1,0
201,1451,672.0,2,1,114,230,0,1
202,1422,672.0,0,3,102,232,0,1
203,1633,672.0,0,1,123,266,0,2
204,1751,693.0,0,0,132,289,1,0
205,1612,672.0,2,1,124,261,0,2
206,1220,609.0,1,0,100,189,1,1
207,1499,714.0,1,1,111,243,0,1
208,1468,630.0,0,0,117,238,0,0
209,1562,672.0,0,2,113,261,0,1
210,1586,672.0,1,2,119,259,0,0
211,1572,672.0,0,2,119,251,2,1
212,1596,735.0,2,2,113,268,0,0
213,1456,651.0,1,1,97,247,2,0
214,1576,672.0,0,0,107,268,1,0
215,1508,735.0,0,1,115,247,0,1
216,1503,693.0,0,1,113,244,0,0
217,1540,651.0,0,1,109,256,0,1
218,1483,714.0,1,1,120,236,0,0
219,834,336.0,0,0,72,122,0,0
220,1418,672.0,0,0,114,229,0,0
221,1495,630.0,0,0,106,255,0,1
222,1628,651.0,1,1,119,266,2,0
223,1490,693.0,0,0,112,246,1,0
224,1510,735.0,0,0,116,247,1,0
225,2227,693.0,1,0,177,358,0,1
226,804,483.0,0,1,59,126,0,0
227,1929,777.0,0,2,143,322,0,0
228,1429,672.0,2,0,100,236,0,1
229,1706,714.0,0,0,133,282,1,0
230,1219,567.0,0,0,95,194,0,0
231,1521,798.0,1,0,113,252,0,1
232,1459,714.0,1,0,106,240,1,1
233,1412,525.0,0,0,107,232,1,0
234,932,420.0,0,0,112,94,0,0
235,609,357.0,0,2,114,18,1,0
236,1538,147.0,1,5,60,253,48,3
237,962,189.0,0,116,68,15,0,26
238,4676,483.0,251,150,102,483,58,44
239,1866,672.0,74,103,147,87,13,26
240,880,189.0,63,9,68,16,3,20
241,528,189.0,1,2,59,2,0,1
242,944,420.0,6,0,127,2,63,22
243,416,210.0,0,0,88,0,0,0
244,616,420.0,1,1,135,0,0,1
245,727,399.0,8,0,133,0,5,9
246,482,210.0,2,0,102,0,0,1
247,496,273.0,0,0,108,0,0,4
248,672,294.0,1,1,147,0,1,5
249,744,525.0,1,2,167,5,0,0
250,399,273.0,1,1,72,1,5,4
251,568,378.0,1,0,114,0,0,8
252,607,378.0,3,6,117,3,0,5
253,551,252.0,26,1,82,2,0,6
254,640,294.0,0,0,107,7,0,30
255,727,546.0,0,2,142,2,0,9
256,400,210.0,3,13,62,0,1,5
257,354,168.0,8,0,47,2,0,1
258,687,441.0,0,0,139,0,1,0
259,704,399.0,4,0,153,6,0,0
260,800,399.0,3,3,150,15,10,3
261,520,231.0,0,0,113,3,0,1
262,482,315.0,2,0,100,0,0,1
263,536,210.0,0,0,106,5,0,0
264,482,189.0,0,0,76,3,0,5
265,935,441.0,8,0,166,12,0,6
266,607,336.0,1,6,105,12,0,1
267,888,441.0,5,25,128,31,2,1
268,656,231.0,4,1,105,16,0,21
269,577,231.0,0,1,93,16,1,5
270,543,399.0,6,6,98,8,2,2
271,584,189.0,0,0,94,7,0,34
272,712,441.0,13,1,129,12,0,12
273,415,252.0,5,3,73,0,0,5
274,528,315.0,1,1,107,3,0,0
275,708,462.0,3,6,144,5,0,0
276,680,273.0,2,15,110,6,0,19
277,448,189.0,4,1,84,3,0,3
278,687,378.0,15,14,102,7,5,5
279,836,546.0,5,0,146,6,0,6
280,752,378.0,0,5,134,12,0,14
281,655,315.0,0,0,102,8,0,29
282,712,378.0,5,20,117,7,0,0
283,578,357.0,17,2,102,6,0,1
284,656,399.0,35,3,99,9,0,0
285,599,210.0,4,9,85,11,0,10
286,688,420.0,16,9,109,14,0,1
287,728,357.0,27,6,107,17,0,7
288,728,441.0,2,13,100,33,0,20
289,751,294.0,13,13,111,14,12,0
290,664,336.0,26,9,82,20,0,1
291,600,378.0,1,11,98,9,0,12
292,744,294.0,19,19,103,9,1,12
293,720,462.0,12,2,124,8,1,12
294,512,189.0,10,0,75,15,0,15
295,688,294.0,13,3,76,10,0,8
296,450,231.0,18,2,68,8,0,0
297,610,252.0,11,1,91,7,1,3
298,551,231.0,9,0,73,5,2,5
299,752,399.0,31,0,122,12,0,0
300,551,294.0,21,5,71,9,0,8
301,720,420.0,9,1,87,22,0,8
302,688,378.0,11,14,112,19,0,4
303,632,357.0,0,5,99,8,0,9
304,560,336.0,3,8,82,24,0,7
305,655,399.0,0,2,104,3,0,37
306,776,525.0,1,4,119,17,0,21
307,648,399.0,3,0,102,11,3,32
308,496,399.0,1,1,61,14,1,23
309,480,189.0,0,4,64,6,1,26
310,760,378.0,2,18,123,7,0,19
311,879,546.0,0,32,140,10,4,7
312,632,336.0,0,7,80,2,1,51
313,880,462.0,0,55,117,16,0,4
314,600,294.0,6,9,83,6,0,19
315,688,420.0,4,10,104,7,3,3
316,632,378.0,15,1,82,9,0,26
317,711,420.0,1,37,83,20,14,9
318,775,525.0,9,11,113,22,14,3
319,736,273.0,7,31,87,12,4,3
320,545,273.0,4,20,61,10,7,7
321,641,357.0,3,5,89,17,6,1
322,720,399.0,3,17,98,14,8,5
323,543,315.0,0,1,58,18,3,4
324,720,336.0,10,16,70,13,8,35
325,675,441.0,3,6,90,19,6,4
326,760,420.0,4,10,66,24,3,9
327,711,462.0,0,3,74,5,0,40
328,728,420.0,0,3,66,15,5,4
329,767,399.0,12,0,83,20,9,4
330,639,378.0,5,3,70,25,5,9
331,768,462.0,0,37,82,20,15,24
332,1047,609.0,3,11,103,99,1,4
333,856,462.0,0,16,96,58,7,14
334,912,567.0,0,0,90,71,5,28
335,1016,567.0,4,22,116,66,10,4
336,600,315.0,0,2,42,25,8,3
337,836,504.0,3,22,111,28,8,2
338,545,357.0,4,12,79,10,8,5
339,656,315.0,3,1,59,16,4,30
340,840,588.0,3,5,96,38,11,15
341,743,399.0,2,4,55,22,1,24
342,640,189.0,8,13,66,22,2,15
343,1151,609.0,1,45,94,56,1,29
344,1112,546.0,23,20,89,91,7,7
345,704,462.0,0,0,39,29,2,89
346,951,588.0,0,25,71,33,1,49
347,1143,651.0,1,19,95,62,10,13
348,1008,650.0,22,4,104,53,19,11
349,688,462.0,0,2,55,30,6,15
350,728,399.0,0,28,74,28,14,6
351,1151,609.0,49,2,93,45,20,36
352,767,378.0,0,0,61,35,10,20
353,1028,525.0,10,0,83,72,38,36
354,1120,609.0,2,49,77,45,38,19
355,784,378.0,12,5,51,19,19,24
356,1060,525.0,7,2,97,66,36,11
357,1191,703.0,7,5,80,95,44,36
358,1119,630.0,2,42,77,44,8,32
359,1269,714.0,22,80,87,98,0,6
360,696,420.0,34,2,42,26,9,2
361,1034,651.0,8,1,116,45,38,16
362,803,420.0,38,4,94,21,12,0
363,1145,651.0,2,71,98,39,23,26
364,642,294.0,5,9,74,35,14,2
365,1191,630.0,25,47,39,86,18,58
366,1381,879.0,36,42,57,140,0,6
367,1267,755.0,62,8,62,118,5,14
368,1024,609.0,11,33,86,71,19,2
369,737,294.0,1,11,62,46,21,4
370,640,462.0,0,0,53,20,17,5
371,767,525.0,1,5,84,30,10,3
372,631,231.0,1,3,48,18,14,2
373,1514,682.0,27,16,102,78,58,30
374,1175,714.0,40,3,75,98,16,6
375,1288,787.0,23,34,82,134,7,15
376,1284,796.0,20,16,72,131,12,8
377,929,399.0,6,3,45,79,25,7
378,322,126.0,1,0,11,21,9,17
379,1027,776.0,84,1,80,47,19,9
380,1274,755.0,59,4,76,127,14,10
381,1188,702.0,5,6,89,99,61,0
382,1159,672.0,18,14,100,82,54,7
383,1207,745.0,36,2,87,89,46,17
384,536,189.0,5,0,20,15,12,52
385,1124,672.0,68,8,49,72,21,30
386,1159,703.0,62,38,56,83,1,30
387,1288,682.0,101,45,52,82,12,13
388,1378,714.0,126,27,49,75,3,49
389,1636,682.0,18,0,105,115,50,33
390,1387,828.0,7,74,104,61,10,9
391,1075,672.0,18,93,87,39,13,5
392,1123,672.0,101,48,60,15,1,45
393,1155,651.0,49,17,86,96,2,22
394,1100,808.0,26,24,61,112,11,27
395,937,672.0,5,59,54,72,10,21
396,1190,682.0,72,33,63,68,5,23
397,903,567.0,2,60,53,54,7,18
398,1188,525.0,0,43,63,75,52,29
399,1256,703.0,84,25,71,75,15,22
400,900,567.0,7,13,72,64,18,12
401,1291,724.0,79,5,87,75,18,8
402,1362,713.0,49,25,87,97,31,20
403,2018,1194.0,58,128,134,140,2,15
404,1043,735.0,48,14,71,97,3,10
405,2593,1742.0,89,72,173,266,1,23
406,1060,651.0,1,52,87,83,8,15
407,1008,671.0,53,59,64,24,8,10
408,963,483.0,4,56,48,66,12,5
409,1163,672.0,34,14,88,139,3,0
410,968,682.0,28,35,71,83,6,1
411,1558,797.0,37,82,126,108,5,9
412,1444,682.0,83,33,90,95,7,36
413,1616,609.0,36,69,80,106,24,32
414,1430,859.0,153,7,75,58,7,17
415,1071,588.0,6,36,77,77,17,8
416,1336,849.0,56,61,97,69,24,5
417,1255,796.0,37,43,87,97,14,8
418,1104,672.0,35,55,58,82,22,1
419,1386,859.0,69,1,92,148,0,10
420,1419,839.0,11,62,86,147,4,26
421,1220,724.0,14,1,82,173,6,4
422,1319,682.0,39,45,92,80,24,1
423,1286,703.0,39,49,84,82,9,17
424,1063,661.0,5,11,88,103,15,7
425,1387,808.0,17,24,100,175,3,9
426,1133,786.0,88,56,78,43,1,1
427,1099,713.0,87,17,78,65,8,1
428,1317,785.0,25,11,74,151,15,8
429,1134,766.0,114,5,71,54,12,8
430,1383,766.0,71,43,93,94,10,17
431,965,682.0,85,35,60,33,4,0
432,1063,640.0,59,79,51,34,11,13
433,1356,755.0,17,172,63,30,19,14
434,1382,860.0,47,123,78,66,4,13
435,1131,787.0,74,9,70,79,25,4
436,1257,630.0,131,13,46,31,8,55
437,3972,2529.0,269,180,213,193,35,24
438,2881,1719.0,129,134,192,200,32,5
439,2018,1321.0,133,99,123,107,6,2
440,1317,753.0,118,67,70,43,4,1
441,2914,1951.0,245,106,153,144,15,24
442,2946,1678.0,90,298,140,82,29,22
443,1284,703.0,60,48,65,74,21,27
444,1476,588.0,30,72,42,75,48,72
445,1796,609.0,13,25,94,121,125,1
446,1384,755.0,18,54,77,77,66,2
447,1059,588.0,32,17,54,72,49,9
448,1486,724.0,52,7,95,98,75,6
449,2180,702.0,30,10,89,162,144,15
450,1256,525.0,3,15,56,100,62,12
451,735,147.0,0,3,7,43,38,3
452,1704,650.0,12,46,61,127,97,6
453,1252,588.0,2,43,60,93,51,9
454,1475,525.0,1,15,59,121,86,15
455,1318,692.0,61,4,70,68,20,37
456,1254,755.0,0,72,78,64,31,38
457,1216,713.0,68,8,75,64,11,25
458,536,42.0,0,1,3,23,20,56
459,1592,734.0,51,61,73,79,41,35
460,1287,724.0,12,96,75,101,2,1
461,1357,816.0,40,118,85,28,5,13
462,1284,775.0,60,28,71,65,30,3
463,1317,661.0,13,32,67,93,58,2
464,1316,609.0,46,10,69,100,39,20
465,1969,857.0,39,6,44,153,94,15
466,1477,797.0,19,141,95,35,20,22
467,1508,868.0,31,86,119,89,6,3
468,2114,1320.0,142,60,144,106,12,16
469,1656,661.0,36,45,44,110,58,15
470,1123,609.0,101,28,39,29,18,40
471,1092,525.0,46,1,42,73,24,39
472,1541,693.0,90,2,64,77,54,21
473,2370,1242.0,93,25,108,184,39,13
474,1143,672.0,55,71,71,31,17,7
475,1225,734.0,67,54,72,43,1,15
476,1403,713.0,64,11,95,99,31,0
477,2087,1159.0,54,52,79,165,50,3
478,2882,2022.0,169,11,177,196,83,21
479,1826,981.0,151,20,84,89,27,6
480,1131,848.0,0,58,72,72,29,3
481,1255,734.0,3,65,73,80,24,1
482,1412,795.0,22,31,53,90,53,24
483,3618,1665.0,120,46,130,282,88,15
484,1732,567.0,94,4,42,86,30,9
485,3202,1762.0,171,188,150,117,18,28
486,4227,2425.0,244,294,234,100,11,17
487,1737,897.0,37,101,92,91,11,8
488,1454,731.0,51,57,57,106,18,2
489,1581,693.0,36,34,70,151,23,9
490,1253,672.0,12,2,60,117,52,0
491,1830,847.0,15,69,61,118,62,1
492,1674,797.0,66,30,67,100,67,14
493,1380,682.0,13,23,61,103,58,14
494,1138,714.0,65,37,65,53,25,1
495,1924,859.0,32,70,86,127,59,2
496,1195,692.0,130,14,46,51,12,3
497,1570,1004.0,73,50,112,110,11,0
498,1540,837.0,21,88,71,79,41,0
499,1031,661.0,63,27,51,67,6,0
