C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 4.49GB
  warnings.warn(
global_step=29352, episodic_return=-16200.0
global_step=29533, episodic_return=-11700.0
global_step=29715, episodic_return=-19500.0
global_step=29893, episodic_return=-8500.0
global_step=30071, episodic_return=-16800.0
global_step=30252, episodic_return=-13500.0
global_step=30435, episodic_return=-9900.0
global_step=30620, episodic_return=-10800.0
global_step=30798, episodic_return=-12000.0
global_step=30981, episodic_return=-10200.0
global_step=31161, episodic_return=-16500.0
global_step=31340, episodic_return=9900.0
global_step=31519, episodic_return=-6600.0
global_step=31698, episodic_return=-12600.0
global_step=31878, episodic_return=-10000.0
global_step=32060, episodic_return=-16300.0
global_step=32240, episodic_return=-11100.0
global_step=32423, episodic_return=-19400.0
global_step=32605, episodic_return=-21900.0
global_step=32786, episodic_return=-7000.0
global_step=32971, episodic_return=-15900.0
global_step=33150, episodic_return=-12200.0
global_step=33333, episodic_return=-6500.0
global_step=33513, episodic_return=-18400.0
global_step=33692, episodic_return=-16900.0
global_step=33872, episodic_return=-12700.0
global_step=34053, episodic_return=-12100.0
global_step=34236, episodic_return=-19800.0
global_step=34419, episodic_return=-16300.0
global_step=34599, episodic_return=-8500.0
global_step=34782, episodic_return=-5100.0
global_step=34962, episodic_return=-24200.0
global_step=35146, episodic_return=-15700.0
global_step=35326, episodic_return=-7900.0
global_step=35508, episodic_return=-7700.0
global_step=35688, episodic_return=-14700.0
global_step=35872, episodic_return=-6200.0
global_step=36053, episodic_return=-11200.0
global_step=36237, episodic_return=9600.0
global_step=36418, episodic_return=-6800.0
global_step=36597, episodic_return=-19700.0
global_step=36778, episodic_return=-7500.0
global_step=36958, episodic_return=-19700.0
global_step=37141, episodic_return=-19500.0
global_step=37324, episodic_return=-4200.0
global_step=37503, episodic_return=-15900.0
global_step=37687, episodic_return=-6700.0
global_step=37870, episodic_return=-14200.0
global_step=38050, episodic_return=-3600.0
global_step=38228, episodic_return=-13400.0
global_step=38410, episodic_return=-15400.0
global_step=38590, episodic_return=-9400.0
global_step=38768, episodic_return=-17900.0
global_step=38953, episodic_return=-17300.0
global_step=39133, episodic_return=-14500.0
global_step=39311, episodic_return=-12400.0
global_step=39495, episodic_return=-7500.0
global_step=39676, episodic_return=-5400.0
global_step=39860, episodic_return=-4800.0
global_step=40045, episodic_return=-18000.0
global_step=40223, episodic_return=-11400.0
global_step=40405, episodic_return=-12800.0
global_step=40587, episodic_return=-13500.0
global_step=40765, episodic_return=-13000.0
global_step=40947, episodic_return=-4700.0
global_step=41128, episodic_return=-6200.0
global_step=41309, episodic_return=-10800.0
global_step=41494, episodic_return=-4700.0
global_step=41674, episodic_return=-17700.0
global_step=41856, episodic_return=-12300.0
global_step=42038, episodic_return=-1700.0
global_step=42221, episodic_return=-13300.0
global_step=42405, episodic_return=-9000.0
global_step=42583, episodic_return=19500.0
global_step=42764, episodic_return=-21100.0
global_step=42944, episodic_return=-18800.0
global_step=43127, episodic_return=-15300.0
global_step=43310, episodic_return=-12800.0
global_step=43491, episodic_return=-12800.0
global_step=43670, episodic_return=-6700.0
global_step=43852, episodic_return=-9400.0
global_step=44031, episodic_return=-9000.0
global_step=44212, episodic_return=-4700.0
global_step=44393, episodic_return=-14500.0
global_step=44573, episodic_return=-11800.0
global_step=44756, episodic_return=-11700.0
global_step=44939, episodic_return=-8000.0
global_step=45124, episodic_return=-14700.0
global_step=45304, episodic_return=-5300.0
global_step=45482, episodic_return=-7600.0
global_step=45661, episodic_return=-5800.0
global_step=45843, episodic_return=-15900.0
global_step=46023, episodic_return=-17600.0
global_step=46204, episodic_return=-8500.0
global_step=46383, episodic_return=-11900.0
global_step=46563, episodic_return=-5600.0
global_step=46742, episodic_return=-19300.0
global_step=46925, episodic_return=-10500.0
global_step=47105, episodic_return=-15900.0
global_step=47288, episodic_return=-13600.0
global_step=47467, episodic_return=-12800.0
global_step=47645, episodic_return=-10000.0
global_step=47828, episodic_return=-10700.0
global_step=48006, episodic_return=-15100.0
global_step=48191, episodic_return=-8400.0
global_step=48376, episodic_return=-7000.0
global_step=48554, episodic_return=-1700.0
global_step=48737, episodic_return=-24100.0
global_step=48920, episodic_return=-15300.0
global_step=49105, episodic_return=-10000.0
global_step=49290, episodic_return=-3600.0
global_step=49472, episodic_return=-17100.0
global_step=49656, episodic_return=-8100.0
global_step=49836, episodic_return=-13600.0
global_step=50014, episodic_return=-12500.0
global_step=50192, episodic_return=-16400.0
global_step=50372, episodic_return=-17100.0
global_step=50550, episodic_return=-7900.0
global_step=50730, episodic_return=-14700.0
global_step=50914, episodic_return=-7600.0
global_step=51094, episodic_return=-18200.0
global_step=51274, episodic_return=-19100.0
global_step=51453, episodic_return=-11900.0
global_step=51634, episodic_return=-12800.0
global_step=51818, episodic_return=-12300.0
global_step=51996, episodic_return=-22900.0
global_step=52178, episodic_return=-11900.0
global_step=52359, episodic_return=-15300.0
global_step=52537, episodic_return=-9000.0
global_step=52720, episodic_return=-19900.0
global_step=52900, episodic_return=-16400.0
global_step=53079, episodic_return=-11600.0
global_step=53261, episodic_return=-14800.0
global_step=53445, episodic_return=-13000.0
global_step=53627, episodic_return=-11900.0
global_step=53807, episodic_return=-8200.0
global_step=53985, episodic_return=-3300.0
global_step=54169, episodic_return=-27400.0
global_step=54350, episodic_return=-16400.0
global_step=54534, episodic_return=-12800.0
global_step=54718, episodic_return=-15600.0
global_step=54898, episodic_return=-17700.0
global_step=55080, episodic_return=-9100.0
global_step=55263, episodic_return=-7900.0
global_step=55441, episodic_return=-13100.0
global_step=55626, episodic_return=-15300.0
global_step=55810, episodic_return=-8200.0
global_step=55989, episodic_return=-12800.0
global_step=56167, episodic_return=-12300.0
global_step=56351, episodic_return=-8400.0
global_step=56532, episodic_return=-15600.0
global_step=56715, episodic_return=-17600.0
global_step=56897, episodic_return=-14200.0
global_step=57078, episodic_return=-16400.0
global_step=57259, episodic_return=-16500.0
global_step=57444, episodic_return=-12800.0
global_step=57625, episodic_return=-20600.0
global_step=57809, episodic_return=-25400.0
global_step=57988, episodic_return=-17000.0
global_step=58171, episodic_return=-7600.0
global_step=58349, episodic_return=-14400.0
global_step=58528, episodic_return=-11900.0
global_step=58711, episodic_return=-9900.0
global_step=58895, episodic_return=-14500.0
global_step=59076, episodic_return=-20200.0
global_step=59257, episodic_return=-16400.0
global_step=59435, episodic_return=-16800.0
global_step=59619, episodic_return=-10400.0
global_step=59798, episodic_return=-17300.0
global_step=59981, episodic_return=-8500.0
global_step=60163, episodic_return=-8700.0
global_step=60341, episodic_return=-8100.0
global_step=60523, episodic_return=-19000.0
global_step=60704, episodic_return=-6400.0
global_step=60883, episodic_return=-23400.0
global_step=61065, episodic_return=-10200.0
global_step=61248, episodic_return=-13100.0
global_step=61432, episodic_return=-11900.0
global_step=61614, episodic_return=-18600.0
global_step=61795, episodic_return=-24000.0
global_step=61974, episodic_return=-11400.0
global_step=62154, episodic_return=-21800.0
global_step=62332, episodic_return=-15300.0
global_step=62511, episodic_return=-17100.0
global_step=62691, episodic_return=-9100.0
global_step=62873, episodic_return=-11000.0
global_step=63056, episodic_return=-18000.0
global_step=63238, episodic_return=-7300.0
global_step=63420, episodic_return=-21900.0
global_step=63603, episodic_return=-8500.0
global_step=63787, episodic_return=-12800.0
global_step=63971, episodic_return=-13100.0
global_step=64150, episodic_return=-13900.0
global_step=64329, episodic_return=-15300.0
global_step=64509, episodic_return=-17300.0
global_step=64687, episodic_return=-16400.0
global_step=64866, episodic_return=-8500.0
global_step=65046, episodic_return=-13900.0
global_step=65227, episodic_return=-12800.0
global_step=65407, episodic_return=-16000.0
